Stack A Test 1:
Element 1: 1, Pos: 1, Index: 1
Element 60: 60, Pos: 60, Index: 60
Element 61: 61, Pos: 61, Index: 61
Element 62: 62, Pos: 62, Index: 62
Element 63: 63, Pos: 63, Index: 63
Element 64: 64, Pos: 64, Index: 64
Element 65: 65, Pos: 65, Index: 65
Element 66: 66, Pos: 66, Index: 66
Element 67: 67, Pos: 67, Index: 67
Element 68: 68, Pos: 68, Index: 68
Element 69: 69, Pos: 69, Index: 69
Element 70: 70, Pos: 70, Index: 70
Element 71: 71, Pos: 71, Index: 71
Element 72: 72, Pos: 72, Index: 72
Element 73: 73, Pos: 73, Index: 73
Element 74: 74, Pos: 74, Index: 74
Element 75: 75, Pos: 75, Index: 75
Element 76: 76, Pos: 76, Index: 76
Element 77: 77, Pos: 77, Index: 77
Element 78: 78, Pos: 78, Index: 78
Element 79: 79, Pos: 79, Index: 79
Element 80: 80, Pos: 80, Index: 80
Element 81: 81, Pos: 81, Index: 81
Element 82: 82, Pos: 82, Index: 82
Element 83: 83, Pos: 83, Index: 83
Element 84: 84, Pos: 84, Index: 84
Element 85: 85, Pos: 85, Index: 85
Element 86: 86, Pos: 86, Index: 86
Element 87: 87, Pos: 87, Index: 87
Element 88: 88, Pos: 88, Index: 88
Element 89: 89, Pos: 89, Index: 89
Element 90: 90, Pos: 90, Index: 90
Element 91: 91, Pos: 91, Index: 91
Element 92: 92, Pos: 92, Index: 92
Element 93: 93, Pos: 93, Index: 93
Element 94: 94, Pos: 94, Index: 94
Element 95: 95, Pos: 95, Index: 95
Element 96: 96, Pos: 96, Index: 96
Element 97: 97, Pos: 97, Index: 97
Element 98: 98, Pos: 98, Index: 98
Element 99: 99, Pos: 99, Index: 99
Element 100: 100, Pos: 100, Index: 100
Element 101: 101, Pos: 101, Index: 101
Element 102: 102, Pos: 102, Index: 102
Element 103: 103, Pos: 103, Index: 103
Element 104: 104, Pos: 104, Index: 104
Element 105: 105, Pos: 105, Index: 105
Element 106: 106, Pos: 106, Index: 106
Element 107: 107, Pos: 107, Index: 107
Element 108: 108, Pos: 108, Index: 108
Element 109: 109, Pos: 109, Index: 109
Element 110: 110, Pos: 110, Index: 110
Element 111: 111, Pos: 111, Index: 111
Element 112: 112, Pos: 112, Index: 112
Element 113: 113, Pos: 113, Index: 113
Element 114: 114, Pos: 114, Index: 114
Element 115: 115, Pos: 115, Index: 115
Element 116: 116, Pos: 116, Index: 116
Element 117: 117, Pos: 117, Index: 117
Element 118: 118, Pos: 118, Index: 118
Element 119: 119, Pos: 119, Index: 119
Element 120: 120, Pos: 120, Index: 120
Element 121: 121, Pos: 121, Index: 121
Element 122: 122, Pos: 122, Index: 122
Element 123: 123, Pos: 123, Index: 123
Element 124: 124, Pos: 124, Index: 124
Element 125: 125, Pos: 125, Index: 125
Element 126: 126, Pos: 126, Index: 126
Element 127: 127, Pos: 127, Index: 127
Element 128: 128, Pos: 128, Index: 128
Element 129: 129, Pos: 129, Index: 129
Element 130: 130, Pos: 130, Index: 130
Element 131: 131, Pos: 131, Index: 131
Element 132: 132, Pos: 132, Index: 132
Element 133: 133, Pos: 133, Index: 133
Element 134: 134, Pos: 134, Index: 134
Element 135: 135, Pos: 135, Index: 135
Element 136: 136, Pos: 136, Index: 136
Element 137: 137, Pos: 137, Index: 137
Element 138: 138, Pos: 138, Index: 138
Element 139: 139, Pos: 139, Index: 139
Element 140: 140, Pos: 140, Index: 140
Element 141: 141, Pos: 141, Index: 141
Element 142: 142, Pos: 142, Index: 142
Element 143: 143, Pos: 143, Index: 143
Element 144: 144, Pos: 144, Index: 144
Element 145: 145, Pos: 145, Index: 145
Element 146: 146, Pos: 146, Index: 146
Element 147: 147, Pos: 147, Index: 147
Element 148: 148, Pos: 148, Index: 148
Element 149: 149, Pos: 149, Index: 149
Element 150: 150, Pos: 150, Index: 150
Element 151: 151, Pos: 151, Index: 151
Element 152: 152, Pos: 152, Index: 152
Element 153: 153, Pos: 153, Index: 153
Element 154: 154, Pos: 154, Index: 154
Element 155: 155, Pos: 155, Index: 155
Element 156: 156, Pos: 156, Index: 156
Element 157: 157, Pos: 157, Index: 157
Element 158: 158, Pos: 158, Index: 158
Element 159: 159, Pos: 159, Index: 159
Element 160: 160, Pos: 160, Index: 160
Element 161: 161, Pos: 161, Index: 161
Element 162: 162, Pos: 162, Index: 162
Element 163: 163, Pos: 163, Index: 163
Element 164: 164, Pos: 164, Index: 164
Element 165: 165, Pos: 165, Index: 165
Element 166: 166, Pos: 166, Index: 166
Element 167: 167, Pos: 167, Index: 167
Element 168: 168, Pos: 168, Index: 168
Element 169: 169, Pos: 169, Index: 169
Element 170: 170, Pos: 170, Index: 170
Element 171: 171, Pos: 171, Index: 171
Element 172: 172, Pos: 172, Index: 172
Element 173: 173, Pos: 173, Index: 173
Element 174: 174, Pos: 174, Index: 174
Element 175: 175, Pos: 175, Index: 175
Element 176: 176, Pos: 176, Index: 176
Element 177: 177, Pos: 177, Index: 177
Element 178: 178, Pos: 178, Index: 178
Element 179: 179, Pos: 179, Index: 179
Element 180: 180, Pos: 180, Index: 180
Element 181: 181, Pos: 181, Index: 181
Element 182: 182, Pos: 182, Index: 182
Element 183: 183, Pos: 183, Index: 183
Element 184: 184, Pos: 184, Index: 184
Element 185: 185, Pos: 185, Index: 185
Element 186: 186, Pos: 186, Index: 186
Element 187: 187, Pos: 187, Index: 187
Element 188: 188, Pos: 188, Index: 188
Element 189: 189, Pos: 189, Index: 189
Element 190: 190, Pos: 190, Index: 190
Element 191: 191, Pos: 191, Index: 191
Element 192: 192, Pos: 192, Index: 192
Element 193: 193, Pos: 193, Index: 193
Element 194: 194, Pos: 194, Index: 194
Element 195: 195, Pos: 195, Index: 195
Element 196: 196, Pos: 196, Index: 196
Element 197: 197, Pos: 197, Index: 197
Element 198: 198, Pos: 198, Index: 198
Element 199: 199, Pos: 199, Index: 199
Element 200: 200, Pos: 200, Index: 200
Element 201: 201, Pos: 201, Index: 201
Element 202: 202, Pos: 202, Index: 202
Element 203: 203, Pos: 203, Index: 203
Element 204: 204, Pos: 204, Index: 204
Element 205: 205, Pos: 205, Index: 205
Element 206: 206, Pos: 206, Index: 206
Element 207: 207, Pos: 207, Index: 207
Element 208: 208, Pos: 208, Index: 208
Element 209: 209, Pos: 209, Index: 209
Element 210: 210, Pos: 210, Index: 210
Element 211: 211, Pos: 211, Index: 211
Element 212: 212, Pos: 212, Index: 212
Element 213: 213, Pos: 213, Index: 213
Element 214: 214, Pos: 214, Index: 214
Element 215: 215, Pos: 215, Index: 215
Element 216: 216, Pos: 216, Index: 216
Element 217: 217, Pos: 217, Index: 217
Element 218: 218, Pos: 218, Index: 218
Element 219: 219, Pos: 219, Index: 219
Element 220: 220, Pos: 220, Index: 220
Element 221: 221, Pos: 221, Index: 221
Element 222: 222, Pos: 222, Index: 222
Element 223: 223, Pos: 223, Index: 223
Element 224: 224, Pos: 224, Index: 224
Element 225: 225, Pos: 225, Index: 225
Element 226: 226, Pos: 226, Index: 226
Element 227: 227, Pos: 227, Index: 227
Element 228: 228, Pos: 228, Index: 228
Element 229: 229, Pos: 229, Index: 229
Element 230: 230, Pos: 230, Index: 230
Element 231: 231, Pos: 231, Index: 231
Element 232: 232, Pos: 232, Index: 232
Element 233: 233, Pos: 233, Index: 233
Element 234: 234, Pos: 234, Index: 234
Element 235: 235, Pos: 235, Index: 235
Element 236: 236, Pos: 236, Index: 236
Element 237: 237, Pos: 237, Index: 237
Element 238: 238, Pos: 238, Index: 238
Element 239: 239, Pos: 239, Index: 239
Element 240: 240, Pos: 240, Index: 240
Element 241: 241, Pos: 241, Index: 241
Element 242: 242, Pos: 242, Index: 242
Element 243: 243, Pos: 243, Index: 243
Element 244: 244, Pos: 244, Index: 244
Element 245: 245, Pos: 245, Index: 245
Element 246: 246, Pos: 246, Index: 246
Element 247: 247, Pos: 247, Index: 247
Element 248: 248, Pos: 248, Index: 248
Element 249: 249, Pos: 249, Index: 249
Element 250: 250, Pos: 250, Index: 250
Element 251: 251, Pos: 251, Index: 251
Element 252: 252, Pos: 252, Index: 252
Element 253: 253, Pos: 253, Index: 253
Element 254: 254, Pos: 254, Index: 254
Element 255: 255, Pos: 255, Index: 255
Element 256: 256, Pos: 256, Index: 256
Element 257: 257, Pos: 257, Index: 257
Element 258: 258, Pos: 258, Index: 258
Element 259: 259, Pos: 259, Index: 259
Element 260: 260, Pos: 260, Index: 260
Element 261: 261, Pos: 261, Index: 261
Element 262: 262, Pos: 262, Index: 262
Element 263: 263, Pos: 263, Index: 263
Element 264: 264, Pos: 264, Index: 264
Element 265: 265, Pos: 265, Index: 265
Element 266: 266, Pos: 266, Index: 266
Element 267: 267, Pos: 267, Index: 267
Element 268: 268, Pos: 268, Index: 268
Element 269: 269, Pos: 269, Index: 269
Element 270: 270, Pos: 270, Index: 270
Element 271: 271, Pos: 271, Index: 271
Element 272: 272, Pos: 272, Index: 272
Element 273: 273, Pos: 273, Index: 273
Element 274: 274, Pos: 274, Index: 274
Element 275: 275, Pos: 275, Index: 275
Element 276: 276, Pos: 276, Index: 276
Element 277: 277, Pos: 277, Index: 277
Element 278: 278, Pos: 278, Index: 278
Element 279: 279, Pos: 279, Index: 279
Element 280: 280, Pos: 280, Index: 280
Element 281: 281, Pos: 281, Index: 281
Element 282: 282, Pos: 282, Index: 282
Element 283: 283, Pos: 283, Index: 283
Element 284: 284, Pos: 284, Index: 284
Element 285: 285, Pos: 285, Index: 285
Element 286: 286, Pos: 286, Index: 286
Element 287: 287, Pos: 287, Index: 287
Element 288: 288, Pos: 288, Index: 288
Element 289: 289, Pos: 289, Index: 289
Element 290: 290, Pos: 290, Index: 290
Element 291: 291, Pos: 291, Index: 291
Element 292: 292, Pos: 292, Index: 292
Element 293: 293, Pos: 293, Index: 293
Element 294: 294, Pos: 294, Index: 294
Element 295: 295, Pos: 295, Index: 295
Element 296: 296, Pos: 296, Index: 296
Element 297: 297, Pos: 297, Index: 297
Element 298: 298, Pos: 298, Index: 298
Element 299: 299, Pos: 299, Index: 299
Element 300: 300, Pos: 300, Index: 300
Element 301: 301, Pos: 301, Index: 301
Element 302: 302, Pos: 302, Index: 302
Element 303: 303, Pos: 303, Index: 303
Element 304: 304, Pos: 304, Index: 304
Element 305: 305, Pos: 305, Index: 305
Element 306: 306, Pos: 306, Index: 306
Element 307: 307, Pos: 307, Index: 307
Element 308: 308, Pos: 308, Index: 308
Element 309: 309, Pos: 309, Index: 309
Element 310: 310, Pos: 310, Index: 310
Element 311: 311, Pos: 311, Index: 311
Element 312: 312, Pos: 312, Index: 312
Element 313: 313, Pos: 313, Index: 313
Element 314: 314, Pos: 314, Index: 314
Element 315: 315, Pos: 315, Index: 315
Element 316: 316, Pos: 316, Index: 316
Element 317: 317, Pos: 317, Index: 317
Element 318: 318, Pos: 318, Index: 318
Element 319: 319, Pos: 319, Index: 319
Element 320: 320, Pos: 320, Index: 320
Element 321: 321, Pos: 321, Index: 321
Element 322: 322, Pos: 322, Index: 322
Element 323: 323, Pos: 323, Index: 323
Element 324: 324, Pos: 324, Index: 324
Element 325: 325, Pos: 325, Index: 325
Element 326: 326, Pos: 326, Index: 326
Element 327: 327, Pos: 327, Index: 327
Element 328: 328, Pos: 328, Index: 328
Element 329: 329, Pos: 329, Index: 329
Element 330: 330, Pos: 330, Index: 330
Element 331: 331, Pos: 331, Index: 331
Element 332: 332, Pos: 332, Index: 332
Element 333: 333, Pos: 333, Index: 333
Element 334: 334, Pos: 334, Index: 334
Element 335: 335, Pos: 335, Index: 335
Element 336: 336, Pos: 336, Index: 336
Element 337: 337, Pos: 337, Index: 337
Element 338: 338, Pos: 338, Index: 338
Element 339: 339, Pos: 339, Index: 339
Element 340: 340, Pos: 340, Index: 340
Element 341: 341, Pos: 341, Index: 341
Element 342: 342, Pos: 342, Index: 342
Element 343: 343, Pos: 343, Index: 343
Element 344: 344, Pos: 344, Index: 344
Element 345: 345, Pos: 345, Index: 345
Element 346: 346, Pos: 346, Index: 346
Element 347: 347, Pos: 347, Index: 347
Element 348: 348, Pos: 348, Index: 348
Element 349: 349, Pos: 349, Index: 349
Element 350: 350, Pos: 350, Index: 350
Element 351: 351, Pos: 351, Index: 351
Element 352: 352, Pos: 352, Index: 352
Element 353: 353, Pos: 353, Index: 353
Element 354: 354, Pos: 354, Index: 354
Element 355: 355, Pos: 355, Index: 355
Element 356: 356, Pos: 356, Index: 356
Element 357: 357, Pos: 357, Index: 357
Element 358: 358, Pos: 358, Index: 358
Element 359: 359, Pos: 359, Index: 359
Element 360: 360, Pos: 360, Index: 360
Element 361: 361, Pos: 361, Index: 361
Element 362: 362, Pos: 362, Index: 362
Element 363: 363, Pos: 363, Index: 363
Element 364: 364, Pos: 364, Index: 364
Element 365: 365, Pos: 365, Index: 365
Element 366: 366, Pos: 366, Index: 366
Element 367: 367, Pos: 367, Index: 367
Element 368: 368, Pos: 368, Index: 368
Element 369: 369, Pos: 369, Index: 369
Element 370: 370, Pos: 370, Index: 370
Element 371: 371, Pos: 371, Index: 371
Element 372: 372, Pos: 372, Index: 372
Element 373: 373, Pos: 373, Index: 373
Element 374: 374, Pos: 374, Index: 374
Element 375: 375, Pos: 375, Index: 375
Element 376: 376, Pos: 376, Index: 376
Element 377: 377, Pos: 377, Index: 377
Element 378: 378, Pos: 378, Index: 378
Element 379: 379, Pos: 379, Index: 379
Element 380: 380, Pos: 380, Index: 380
Element 381: 381, Pos: 381, Index: 381
Element 382: 382, Pos: 382, Index: 382
Element 383: 383, Pos: 383, Index: 383
Element 384: 384, Pos: 384, Index: 384
Element 385: 385, Pos: 385, Index: 385
Element 386: 386, Pos: 386, Index: 386
Element 387: 387, Pos: 387, Index: 387
Element 388: 388, Pos: 388, Index: 388
Element 389: 389, Pos: 389, Index: 389
Element 390: 390, Pos: 390, Index: 390
Element 391: 391, Pos: 391, Index: 391
Element 392: 392, Pos: 392, Index: 392
Element 393: 393, Pos: 393, Index: 393
Element 394: 394, Pos: 394, Index: 394
Element 395: 395, Pos: 395, Index: 395
Element 396: 396, Pos: 396, Index: 396
Element 397: 397, Pos: 397, Index: 397
Element 398: 398, Pos: 398, Index: 398
Element 399: 399, Pos: 399, Index: 399
Element 400: 400, Pos: 400, Index: 400
Element 401: 401, Pos: 401, Index: 401
Element 402: 402, Pos: 402, Index: 402
Element 403: 403, Pos: 403, Index: 403
Element 404: 404, Pos: 404, Index: 404
Element 405: 405, Pos: 405, Index: 405
Element 406: 406, Pos: 406, Index: 406
Element 407: 407, Pos: 407, Index: 407
Element 408: 408, Pos: 408, Index: 408
Element 409: 409, Pos: 409, Index: 409
Element 410: 410, Pos: 410, Index: 410
Element 411: 411, Pos: 411, Index: 411
Element 412: 412, Pos: 412, Index: 412
Element 413: 413, Pos: 413, Index: 413
Element 414: 414, Pos: 414, Index: 414
Element 415: 415, Pos: 415, Index: 415
Element 416: 416, Pos: 416, Index: 416
Element 417: 417, Pos: 417, Index: 417
Element 418: 418, Pos: 418, Index: 418
Element 419: 419, Pos: 419, Index: 419
Element 420: 420, Pos: 420, Index: 420
Element 421: 421, Pos: 421, Index: 421
Element 422: 422, Pos: 422, Index: 422
Element 423: 423, Pos: 423, Index: 423
Element 424: 424, Pos: 424, Index: 424
Element 425: 425, Pos: 425, Index: 425
Element 426: 426, Pos: 426, Index: 426
Element 427: 427, Pos: 427, Index: 427
Element 428: 428, Pos: 428, Index: 428
Element 429: 429, Pos: 429, Index: 429
Element 430: 430, Pos: 430, Index: 430
Element 431: 431, Pos: 431, Index: 431
Element 432: 432, Pos: 432, Index: 432
Element 433: 433, Pos: 433, Index: 433
Element 434: 434, Pos: 434, Index: 434
Element 435: 435, Pos: 435, Index: 435
Element 436: 436, Pos: 436, Index: 436
Element 437: 437, Pos: 437, Index: 437
Element 438: 438, Pos: 438, Index: 438
Element 439: 439, Pos: 439, Index: 439
Element 440: 440, Pos: 440, Index: 440
Element 441: 441, Pos: 441, Index: 441
Element 442: 442, Pos: 442, Index: 442
Element 443: 443, Pos: 443, Index: 443
Element 444: 444, Pos: 444, Index: 444
Element 445: 445, Pos: 445, Index: 445
Element 446: 446, Pos: 446, Index: 446
Element 447: 447, Pos: 447, Index: 447
Element 448: 448, Pos: 448, Index: 448
Element 449: 449, Pos: 449, Index: 449
Element 450: 450, Pos: 450, Index: 450
Element 451: 451, Pos: 451, Index: 451
Element 452: 452, Pos: 452, Index: 452
Element 453: 453, Pos: 453, Index: 453
Element 454: 454, Pos: 454, Index: 454
Element 455: 455, Pos: 455, Index: 455
Element 456: 456, Pos: 456, Index: 456
Element 457: 457, Pos: 457, Index: 457
Element 458: 458, Pos: 458, Index: 458
Element 459: 459, Pos: 459, Index: 459
Element 460: 460, Pos: 460, Index: 460
Element 461: 461, Pos: 461, Index: 461
Element 462: 462, Pos: 462, Index: 462
Element 463: 463, Pos: 463, Index: 463
Element 464: 464, Pos: 464, Index: 464
Element 465: 465, Pos: 465, Index: 465
Element 466: 466, Pos: 466, Index: 466
Element 467: 467, Pos: 467, Index: 467
Element 468: 468, Pos: 468, Index: 468
Element 469: 469, Pos: 469, Index: 469
Element 470: 470, Pos: 470, Index: 470
Element 471: 471, Pos: 471, Index: 471
Element 472: 472, Pos: 472, Index: 472
Element 473: 473, Pos: 473, Index: 473
Element 474: 474, Pos: 474, Index: 474
Element 475: 475, Pos: 475, Index: 475
Element 476: 476, Pos: 476, Index: 476
Element 477: 477, Pos: 477, Index: 477
Element 478: 478, Pos: 478, Index: 478
Element 479: 479, Pos: 479, Index: 479
Element 480: 480, Pos: 480, Index: 480
Element 481: 481, Pos: 481, Index: 481
Element 482: 482, Pos: 482, Index: 482
Element 483: 483, Pos: 483, Index: 483
Element 484: 484, Pos: 484, Index: 484
Element 485: 485, Pos: 485, Index: 485
Element 486: 486, Pos: 486, Index: 486
Element 487: 487, Pos: 487, Index: 487
Element 488: 488, Pos: 488, Index: 488
Element 489: 489, Pos: 489, Index: 489
Element 490: 490, Pos: 490, Index: 490
Element 491: 491, Pos: 491, Index: 491
Element 492: 492, Pos: 492, Index: 492
Element 493: 493, Pos: 493, Index: 493
Element 494: 494, Pos: 494, Index: 494
Element 495: 495, Pos: 495, Index: 495
Element 496: 496, Pos: 496, Index: 496
Element 497: 497, Pos: 497, Index: 497
Element 498: 498, Pos: 498, Index: 498
Element 499: 499, Pos: 499, Index: 499
Element 500: 500, Pos: 500, Index: 500
Stack B Test 1:
Stack->NULL
Sorted.
